unit_id,nama_jabatan,kelas_jabatan
999,Auditor Ahli Utama,14
999,Auditor Ahli Madya,12
999,Auditor Ahli Muda,10
999,Auditor Ahli Pratama,9
999,Auditor Terampil Penyelia,8
999,Auditor Terampil Pelaksana Lanjutan,7
999,Auditor Terampil Pelaksana,6
999,Analis Kebijakan Utama ,14
999,Analis Kebijakan Madya,12
999,Analis Kebijakan Muda,10
999,Analis Kebijakan Pratama,9
999,Dokter Muda,10
999,Dokter Pertama,9
999,Dokter Gigi Madya,12
999,Dokter Gigi Muda,10
999,Dokter Gigi Pertama,9
999,Arsiparis Muda,9
999,Arsiparis Pertama,8
999,Arsiparis Penyelia,8
999,Arsiparis Pelaksana Lanjutan,7
999,Arsiparis Pelaksana,6
999,Asisten Apoteker Penyelia,8
999,Asisten Apoteker Pelaksana Lanjutan,7
999,Asisten Apoteker Pelaksana,6
999,Asisten Apoteker Pelaksana Pemula,5
999,Pranata komputer Muda,9
999,Pranata Komputer Pertama,8
999,Pranata Komputer Penyelia,8
999,Pranata Komputer Pelaksana Lanjutan,7
999,Pranata Komputer Pelaksana,6
999,Pranata Komputer Pelaksana Pemula,5
999,Pranata Hubungan Masyarakat Muda,9
999,Pranata Hubungan Masyarakat Pertama,8
999,Pranata Hubungan Masyarakat Penyelia,8
999,Pranata Hubungan Masyarakat Pelaksana Lanjutan,7
999,Pranata Hubungan Masyarakat Pelaksana,6
999,Pranata Hubungan Masyarakat Pelaksana Pemula,5
999,Statistisi Muda,9
999,Statistisi Pertama,8
999,Statistisi Penyelia,8
999,Statistisi Pelaksana Lanjutan,7
999,Statistisi Pelaksana,6
999,Statistisi Pelaksana Pemula,5
999,Perancang Peraturan Perundang-undangan Madya,11
999,Perancang Peraturan Perundang-undangan Muda,9
999,Perancang Peraturan Perundang-undangan Pertama,8
999,Perencana Muda,10
999,Perencana Pertama,9
999,Analis Ekonomi,7
999,Analis Organisasi,7
999,Analis Tata Laksana,7
999,Analis Anggaran,7
999,Analis Manajemen Kinerja,7
999,Analis Monitoring dan Evaluasi,7
999,Analis Data dan Informasi,7
999,Analis Sistem Informasi dan Jaringan,7
999,Analis Hukum,7
999,Analis Pelaporan,7
999,Analis Manajemen Kepegawaian,7
999,Analis Humas dan Protokol,7
999,Analis Kerumahtanggaan,7
999,Analis Keuangan,7
999,Analis Bidang Pengawasan,7
999,Analis Pengelola Barang Milik Negara,7
999,Analis Tata Usaha,7
999,Pengelola Sistem dan Jaringan,7
999,Pengelola Rapat,7
999,Verifikator Keuangan,7
999,Protokuler,6
999,Petugas Protokol,5
999,Pemeliharaan Sarana dan Prasarana Kantor,5
999,Pengadministrasi Kerumahtanggaan,5
999,Pengadministrasi Kepegawaian,5
999,Pengadministrasi Rapat,5
999,Pengadministrasi Anggaran,5
999,Pengadministrasi Kinerja,5
999,Pengadministrasi Barang Milik Negara,5
999,Pengadministrasi Bahan Informasi,5
999,Pengadministrasi Persuratan,5
999,Pengadministrasi Kearsipan,5
999,Pengadministrasi Umum,5
999,Pengemudi,3
999,Pramubakti,3
